[-0.52729063 -0.00097966]
[-0.5292426  -0.00195197]
[-0.53115224 -0.00190964]
[-0.53300524 -0.001853  ]
[-0.5337877  -0.00078246]
[-5.33493754e-01  2.93946585e-04]
[-0.53212561  0.00136815]
[-0.53069351  0.00143209]
[-0.52920821  0.0014853 ]
[-5.28680847e-01  5.27367595e-04]
[-5.29115365e-01 -4.34518346e-04]
[-0.52850851  0.00060685]
[-0.52686484  0.00164368]
[-0.52519666  0.00166817]
[-0.52351651  0.00168016]
[-0.52283697  0.00067954]
[-5.23163147e-01 -3.26175476e-04]
[-0.52449259 -0.00132944]
[-5.24815329e-01 -3.22739096e-04]
[-0.52412894  0.00068639]
[-0.52343858  0.00069036]
[-0.52274942  0.00068916]
[-0.52106663  0.00168279]
[-0.51840283  0.0026638 ]
[-0.516778    0.00162483]
[-0.51620432  0.00057368]
[-0.5156861   0.00051822]
[-5.15227214e-01  4.58885264e-04]
[-0.51383111  0.00139611]
[-0.51150825  0.00232286]
[-0.50827605  0.0032322 ]
[-0.50415873  0.00411732]
[-0.50018713  0.0039716 ]
[-0.49639097  0.00379616]
[-0.49379865  0.00259233]
[-0.49242952  0.00136912]
[-4.92293829e-01  1.35694193e-04]
[-0.49139258  0.00090125]
[-0.4897325   0.00166008]
[-0.48832598  0.00140652]
[-0.48718351  0.00114247]
[-4.87313610e-01 -1.30103275e-04]
[-0.48871531 -0.0014017 ]
[-0.49137817 -0.00266285]
[-0.4942823  -0.00290413]
[-0.49740602 -0.00312372]
[-0.49972599 -0.00231997]
[-0.50122485 -0.00149886]
[-0.50189138 -0.00066654]
[-0.50372061 -0.00182923]
[-0.50669884 -0.00297823]
[-0.50980376 -0.00310492]
[-0.51301211 -0.00320835]
[-0.51729985 -0.00428774]
[-0.52263483 -0.00533498]
[-0.52697704 -0.00434221]
[-0.53029391 -0.00331687]
[-0.53456058 -0.00426666]
[-0.53974504 -0.00518446]
[-0.54580845 -0.00606341]
[-0.55270542 -0.00689696]
[-0.55938436 -0.00667894]
[-0.56579543 -0.00641107]
[-0.57189086 -0.00609544]
[-0.57862537 -0.00673451]
[-0.58594905 -0.00732368]
[-0.59380783 -0.00785878]
[-0.60214393 -0.00833609]
[-0.60889637 -0.00675244]
[-0.61401604 -0.00511967]
[-0.61846586 -0.00444983]
[-0.62221375 -0.00374789]
[-0.62623277 -0.00401902]
[-0.63049414 -0.00426137]
[-0.63296746 -0.00247332]
[-0.63363516 -0.0006677 ]
[-6.33492488e-01  1.42668896e-04]
[-0.63254047  0.00095202]
[-0.63178585  0.00075462]
[-6.312340e-01  5.518491e-04]
[-0.62888884  0.00234516]
[-0.62476708  0.00412177]
[-0.61889814  0.00586893]
[-0.61232416  0.00657398]
[-0.60509257  0.00723159]
[-0.59625584  0.00883673]
[-0.58587849  0.01037735]
[-0.57603676  0.00984173]
[-0.56680336  0.0092334 ]
[-0.55724684  0.00955653]
[-0.54643838  0.01080846]
[-0.53445876  0.01197962]
[-0.5223977   0.01206106]
[-0.50934565  0.01305205]
[-0.49540047  0.01394518]
[-0.48066652  0.01473395]
[-0.46525368  0.01541285]
[-0.45027619  0.01497749]
[-0.4358442   0.01443199]
[-0.42106279  0.01478141]
[-0.40803833  0.01302446]
[-0.39686331  0.01117501]
[-0.38561608  0.01124723]
[-0.37437441  0.01124167]
[-0.36421492  0.01015949]
[-0.35520578  0.00900915]
[-0.34740654  0.00779924]
[-0.33986807  0.00753847]
[-0.33263885  0.00722922]
[-0.32776477  0.00487408]
[-0.3252764   0.00248837]
[-0.32418923  0.00108717]
[-3.24510013e-01 -3.20781805e-04]
[-0.32523676 -0.00072674]
[-0.32636495 -0.00112819]
[-0.32988757 -0.00352263]
[-0.33578263 -0.00589506]
[-0.34401295 -0.00823032]
[-0.35352594 -0.00951299]
[-0.36425986 -0.01073391]
[-0.37714382 -0.01288396]
[-0.39209119 -0.01494737]
[-0.40699948 -0.01490829]
[-0.42176454 -0.01476506]
[-0.43728154 -0.01551699]
[-0.4534387  -0.01615716]
[-0.47111819 -0.01767949]
[-0.49018965 -0.01907147]
[-0.50851127 -0.01832162]
[-0.525946   -0.01743473]
[-0.54336313 -0.01741713]
[-0.56063211 -0.01726898]
[-0.57862392 -0.0179918 ]
[-0.5972049  -0.01858099]
[-0.61623832 -0.01903342]
[-0.63458585 -0.01834753]
[-0.65211627 -0.01753042]
[-0.66770652 -0.01559024]
[-0.68124931 -0.01354279]
[-0.69465331 -0.013404  ]
[-0.70782997 -0.01317666]
[-0.71969418 -0.01186421]
[-0.73017104 -0.01047687]
[-0.7381959  -0.00802486]
[-0.74372018 -0.00552428]
[-0.74871094 -0.00499076]
[-0.7531388  -0.00442786]
[-0.75597799 -0.00283918]
[-0.7572121  -0.00123412]
[-0.75583407  0.00137803]
[-0.75185181  0.00398227]
[-0.74728832  0.00456348]
[-0.74217028  0.00511804]
[-0.73552792  0.00664236]
[-0.72740104  0.00812688]
[-0.7168391   0.01056193]
[-0.70390769  0.01293141]
[-0.69068895  0.01321874]
[-0.67726887  0.01342009]
[-0.66273665  0.01453222]
[-0.64719093  0.01554571]
[-0.62973937  0.01745156]
[-0.61050514  0.01923423]
[-0.59162646  0.01887867]
[-0.57324112  0.01838534]
[-0.55448483  0.01875629]
[-0.53549723  0.0189876 ]
[-0.51542041  0.02007682]
[-0.49640492  0.01901549]
[-0.47859316  0.01781176]
[-0.46011791  0.01847524]
[-0.4411159   0.01900201]
[-0.42172622  0.01938968]
[-0.40308874  0.01863748]
[-0.38533553  0.01775321]
[-0.36958981  0.01574572]
[-0.3559585   0.01363131]
[-0.34453216  0.01142634]
[-0.33438515  0.01014701]
[-0.32458225  0.0098029 ]
[-0.31518486  0.00939739]
[-0.3082507   0.00693416]
[-0.30382163  0.00442907]
[-0.30092402  0.0028976 ]
[-0.29857501  0.00234901]
[-0.29678838  0.00178663]
[-2.96574569e-01  2.13809766e-04]
[-0.29793483 -0.00136026]
[-0.30186121 -0.00392638]
[-0.30833066 -0.00646945]
[-0.31530472 -0.00697405]
[-0.32274127 -0.00743656]
[-0.33059474 -0.00785347]
[-0.3398162  -0.00922146]
[-0.35034725 -0.01053105]
[-0.36311997 -0.01277272]
[-0.37805032 -0.01493035]
[-0.39503792 -0.0169876 ]
[-0.41296601 -0.01792808]
[-0.43270869 -0.01974268]
[-0.45412463 -0.02141594]
[-0.47505786 -0.02093323]
[-0.49535386 -0.020296  ]
[-0.51586145 -0.02050759]
[-0.53642706 -0.02056561]
[-0.55789648 -0.02146942]
[-0.58010912 -0.02221264]
[-0.60089997 -0.02079084]
[-0.62011624 -0.01921627]
[-0.63861869 -0.01850246]
[-0.65727552 -0.01865683]
[-0.67595643 -0.01868091]
[-0.69353403 -0.0175776 ]
[-0.70989161 -0.01635758]
[-0.7239236  -0.01403199]
[-0.73554198 -0.01161838]
[-0.74667574 -0.01113376]
[-0.75725855 -0.01058281]
[-0.76622894 -0.00897039]
[-0.77353608 -0.00730715]
[-0.77813948 -0.0046034 ]
[-0.78001402 -0.00187454]
[-7.80149576e-01 -1.35556170e-04]
[-0.77854542  0.00160416]
[-0.77621021  0.00233521]
[-0.77315662  0.00305359]
[-0.76740136  0.00575526]
[-0.75897631  0.00842505]
[-0.74892902  0.01004729]
[-0.73731755  0.01161147]
[-0.72421078  0.01310677]
[-0.70868862  0.01552217]
[-0.69084852  0.0178401 ]
[-0.67080602  0.0200425 ]
[-0.65069501  0.02011101]
[-0.63065371  0.0200413 ]
[-0.60982322  0.02083048]
[-0.58835324  0.02146998]
[-0.56540065  0.02295259]
[-0.54113537  0.02426528]
[-0.51573863  0.02539675]
[-0.49040083  0.0253378 ]
[-0.4653116   0.02508923]
[-0.4416573  0.0236543]
[-0.41761139  0.02404591]
[-0.39334706  0.02426433]
[-0.36903495  0.02431211]
[-0.34584097  0.02319398]
[-0.32391788  0.02192309]
[-0.30240442  0.02151346]
[-0.28143081  0.0209736 ]
[-0.26111786  0.02031295]
[-0.24357629  0.01754158]
[-0.22889643  0.01467985]
[-0.21614995  0.01274648]
[-0.20539602  0.01075393]
[-0.19568231  0.00971371]
[-0.18705005  0.00863226]
[-0.1815344   0.00551565]
[-0.17915708  0.00237732]
[-0.17992727 -0.0007702 ]
[-0.18284202 -0.00291475]
[-0.18789    -0.00504798]
[-0.19605124 -0.00816123]
[-0.20729239 -0.01124115]
[-0.2195655  -0.01227311]
[-0.23281559 -0.01325009]
[-0.24798029 -0.0151647 ]
[-0.2649845  -0.01700421]
[-0.2847395  -0.01975501]
[-0.30713653 -0.02239703]
[-0.3310453  -0.02390877]
[-0.35531923 -0.02427393]
[-0.37980233 -0.0244831 ]
[-0.40633077 -0.02652843]
[-0.43472068 -0.02838991]
[-0.46376931 -0.02904863]
[-0.49326425 -0.02949494]
[-0.52298639 -0.02972214]
[-0.55371312 -0.03072673]
[-0.5852143  -0.03150118]
[-0.61725599 -0.03204169]
[-0.64860446 -0.03134847]
[-0.67803721 -0.02943275]
[-0.70535266 -0.02731546]
[-0.73137152 -0.02601885]
[-0.75693104 -0.02555952]
[-0.78188002 -0.02494898]
[-0.80407999 -0.02219997]
[-0.82341595 -0.01933596]
[-0.84179444 -0.01837849]
[-0.85913274 -0.0173383 ]
[-0.8743585  -0.01522575]
[-0.88741286 -0.01305437]
[-0.897249   -0.00983613]
[-0.90383385 -0.00658485]
[-0.90914638 -0.00531253]
[-0.91317027 -0.00402389]
[-0.91489353 -0.00172327]
[-0.91331115  0.00158238]
[-0.90842773  0.00488342]
[-0.90225785  0.00616988]
[-0.8948206   0.00743725]
[-0.88514004  0.00968056]
[-0.87324917  0.01189088]
[-0.85819104  0.01505813]
[-0.84002415  0.01816689]
[-0.82082477  0.01919938]
[-0.80068007  0.02014469]
[-0.77868845  0.02199162]
[-0.754965    0.02372345]
[-0.72864232  0.02632268]
[-0.69987698  0.02876534]
[-0.66885032  0.03102666]
[-0.63776842  0.0310819 ]
[-0.60684689  0.03092153]
[-0.57530748  0.03153942]
[-0.5433818   0.03192568]
[-0.51030783  0.03307396]
[-0.47633352  0.03397431]
[-0.44371252  0.03262101]
[-0.41268494  0.03102758]
[-0.38247395  0.03021099]
[-0.35329005  0.02918389]
[-0.32432863  0.02896143]
[-0.29577428  0.02855434]
[-0.26979866  0.02597562]
[-0.24554789  0.02425078]
[-0.22314893  0.02239896]
[-0.20271038  0.02043855]
[-0.18332362  0.01938675]
[-0.16506822  0.0182554 ]
[-0.14801249  0.01705573]
[-0.13321433  0.01479816]
[-0.12071916  0.01249516]
[-0.11156184  0.00915733]
[-0.10576579  0.00579604]
[-0.10134495  0.00442084]
[-0.09830945  0.0030355 ]
[-0.09766601  0.00064344]
[-0.09941603 -0.00175002]
[-0.10455568 -0.00513965]
[-0.11307334 -0.00851767]
[-0.12294855 -0.0098752 ]
[-0.13415561 -0.01120706]
[-0.14866292 -0.01450731]
[-0.16642569 -0.01776277]
[-0.18638329 -0.01995759]
[-0.20846014 -0.02207686]
[-0.23356385 -0.02510371]
[-0.25957855 -0.0260147 ]
[-0.28637276 -0.02679421]
[-0.31479973 -0.02842697]
[-0.34469227 -0.02989254]
[-0.37686312 -0.03217084]
[-0.40909928 -0.03223616]
[-0.4411774  -0.03207812]
